DM_atp_c_,1.07,10
EX_ala_L(e),0.019221305,10
EX_arg_L(e),-0.024927303,10
EX_asn_L(e),-0.01651081,10
EX_asp_L(e),-0.004154395,10
EX_chol(e),-0.000851349,10
EX_cit(e),-0.001048267,10
EX_cl(e),0,10
EX_co2(e),2.558242542,10
EX_glc(e),-0.916906385,10
EX_gln_L(e),-0.177572084,10
EX_glu_L(e),0.008261785,10
EX_gly(e),0.00052831,10
EX_h(e),8.858968875,10
EX_h2o(e),-1.971666594,10
EX_ile_L(e),-0.012471146,10
EX_k(e),0,10
EX_lac_L(e),1.26175303,10
EX_leu_L(e),-0.01940638,10
EX_lys_L(e),-0.02548132,10
EX_na1(e),0,10
EX_nh4(e),0.377364932,10
EX_o2(e),-0.468052822,10
EX_orn(e),0.013272831,10
EX_phe_L(e),-0.008165546,10
EX_pi(e),-0.016314853,10
EX_pro_L(e),-0.002551575,10
EX_ser_L(e),-0.039990443,10
EX_thr_L(e),-0.013192918,10
EX_trp_L(e),-0.001773787,10
EX_tyr_L(e),-0.01016693,10
EX_urea(e),0.028072828,10
EX_val_L(e),-0.015015249,10
