hsa:100	ec:3.5.4.4
hsa:10005	ec:3.1.2.27
hsa:10007	ec:3.5.99.6
hsa:10020	ec:3.2.1.183
hsa:10020	ec:2.7.1.60
hsa:10157	ec:1.5.1.8
hsa:10157	ec:1.5.1.9
hsa:10195	ec:2.4.1.258
hsa:10201	ec:2.7.4.6
hsa:10249	ec:2.3.1.13
hsa:10249	ec:2.3.1.71
hsa:10327	ec:1.1.1.2
hsa:10331	ec:2.4.1.146
hsa:10331	ec:2.4.1.149
hsa:1036	ec:1.13.11.20
hsa:10380	ec:3.1.3.7
hsa:10390	ec:2.7.8.1
hsa:10390	ec:2.7.8.2
hsa:10396	ec:3.6.3.1
hsa:1040	ec:2.7.7.41
hsa:10400	ec:2.1.1.17
hsa:10400	ec:2.1.1.71
hsa:10402	ec:2.4.99.6
hsa:10423	ec:2.7.8.11
hsa:10449	ec:2.3.1.16
hsa:10455	ec:5.3.3.8
hsa:10554	ec:2.3.1.51
hsa:10555	ec:2.3.1.51
hsa:10558	ec:2.3.1.50
hsa:10587	ec:1.8.1.9
hsa:10588	ec:6.3.3.2
hsa:10606	ec:4.1.1.21
hsa:10606	ec:6.3.2.6
hsa:10654	ec:2.7.4.2
hsa:10678	ec:2.4.1.149
hsa:10682	ec:5.3.3.5
hsa:10690	ec:2.4.1.152
hsa:107	ec:4.6.1.1
hsa:10720	ec:2.4.1.17
hsa:10728	ec:5.3.99.3
hsa:10768	ec:3.3.1.1
hsa:10797	ec:1.5.1.15
hsa:10797	ec:3.5.4.9
hsa:108	ec:4.6.1.1
hsa:10840	ec:1.5.1.6
hsa:10841	ec:2.1.2.5
hsa:10841	ec:4.3.1.4
hsa:10846	ec:3.1.4.17
hsa:10846	ec:3.1.4.35
hsa:10858	ec:1.14.14.25
hsa:10873	ec:1.1.1.40
hsa:109	ec:4.6.1.1
hsa:10905	ec:3.2.1.113
hsa:10919	ec:2.1.1.43
hsa:10935	ec:1.11.1.15
hsa:10965	ec:3.1.2.2
hsa:10993	ec:4.3.1.17
hsa:10993	ec:4.3.1.19
hsa:10998	ec:6.2.1.7
hsa:11001	ec:6.2.1.3
hsa:1103	ec:2.3.1.6
hsa:1109	ec:1.1.1.50
hsa:1109	ec:1.1.1.357
hsa:1109	ec:1.1.1.225
hsa:111	ec:4.6.1.1
hsa:11112	ec:1.1.1.31
hsa:11164	ec:3.6.1.13
hsa:11164	ec:3.6.1.58
hsa:11164	ec:2.7.7.96
hsa:1118	ec:3.2.1.14
hsa:11181	ec:3.2.1.28
hsa:11185	ec:2.1.1.49
hsa:11185	ec:2.1.1.96
hsa:1119	ec:2.7.1.32
hsa:1119	ec:2.7.1.82
hsa:112	ec:4.6.1.1
hsa:1120	ec:2.7.1.32
hsa:1120	ec:2.7.1.82
hsa:11226	ec:2.4.1.41
hsa:11227	ec:2.4.1.41
hsa:11238	ec:4.2.1.1
hsa:112483	ec:2.3.1.57
hsa:11253	ec:3.2.1.113
hsa:112724	ec:1.1.1.300
hsa:11282	ec:2.4.1.145
hsa:11283	ec:1.14.14.1
hsa:11285	ec:2.4.1.133
hsa:113	ec:4.6.1.1
hsa:113026	ec:3.1.4.11
hsa:113189	ec:2.8.2.35
hsa:11320	ec:2.4.1.145
hsa:11332	ec:3.1.2.2
hsa:11343	ec:3.1.1.23
hsa:113451	ec:4.1.1.19
hsa:114	ec:4.6.1.1
hsa:114112	ec:1.8.1.9
hsa:114805	ec:2.4.1.41
hsa:115	ec:4.6.1.1
hsa:1152	ec:2.7.3.2
hsa:1158	ec:2.7.3.2
hsa:1159	ec:2.7.3.2
hsa:1160	ec:2.7.3.2
hsa:116255	ec:2.3.1.22
hsa:116285	ec:6.2.1.2
hsa:117248	ec:2.4.1.41
hsa:117283	ec:2.7.4.21
hsa:1178	ec:3.1.1.5
hsa:1200	ec:3.4.14.9
hsa:121278	ec:1.14.16.4
hsa:1215	ec:3.4.21.39
hsa:122481	ec:2.7.4.3
hsa:122622	ec:6.3.4.4
hsa:122970	ec:3.1.2.2
hsa:124	ec:1.1.1.1
hsa:124454	ec:6.1.1.17
hsa:124583	ec:3.6.1.6
hsa:125	ec:1.1.1.1
hsa:125061	ec:3.5.1.9
hsa:126	ec:1.1.1.1
hsa:126129	ec:2.3.1.21
hsa:1267	ec:3.1.4.37
hsa:126792	ec:2.4.1.134
hsa:127	ec:1.1.1.1
hsa:128	ec:1.1.1.284
hsa:128	ec:1.1.1.1
hsa:129642	ec:2.3.1.51
hsa:129807	ec:3.2.1.18
hsa:13	ec:3.1.1.3
hsa:130	ec:1.1.1.1
hsa:130013	ec:4.1.1.45
hsa:131	ec:1.1.1.1
hsa:1312	ec:2.1.1.6
hsa:131669	ec:4.2.1.49
hsa:132	ec:2.7.1.20
hsa:132158	ec:2.7.1.165
hsa:132789	ec:3.5.99.6
hsa:134526	ec:3.1.2.1
hsa:135152	ec:2.4.1.135
hsa:1356	ec:1.16.3.1
hsa:1357	ec:3.4.17.1
hsa:1358	ec:3.4.17.15
hsa:1371	ec:1.3.3.3
hsa:1373	ec:6.3.4.16
hsa:1374	ec:2.3.1.21
hsa:1375	ec:2.3.1.21
hsa:1376	ec:2.3.1.21
hsa:137872	ec:1.1.99.24
hsa:137964	ec:2.3.1.15
hsa:1384	ec:2.3.1.7
hsa:1431	ec:2.3.3.1
hsa:145226	ec:1.1.1.300
hsa:1491	ec:4.4.1.1
hsa:15	ec:2.3.1.87
hsa:1503	ec:6.3.4.2
hsa:151531	ec:2.4.2.3
hsa:1543	ec:1.14.14.1
hsa:1544	ec:1.14.14.1
hsa:1545	ec:1.14.14.1
hsa:1549	ec:1.14.14.1
hsa:1551	ec:1.14.14.1
hsa:1553	ec:1.14.14.1
hsa:1557	ec:1.14.14.51
hsa:1557	ec:1.14.14.52
hsa:1557	ec:1.14.14.53
hsa:1558	ec:1.14.14.1
hsa:1559	ec:1.14.14.51
hsa:1559	ec:1.14.14.52
hsa:1559	ec:1.14.14.53
hsa:1562	ec:1.14.14.1
hsa:1565	ec:1.14.14.1
hsa:1572	ec:1.14.14.1
hsa:1573	ec:1.14.14.1
hsa:1576	ec:1.14.13.32
hsa:1576	ec:1.14.13.97
hsa:1576	ec:1.14.14.55
hsa:1576	ec:1.14.14.56
hsa:1577	ec:1.14.14.1
hsa:1579	ec:1.14.15.3
hsa:158	ec:4.3.2.2
hsa:1580	ec:1.14.14.1
hsa:1581	ec:1.14.14.23
hsa:1582	ec:1.14.18.8
hsa:1582	ec:1.14.13.96
hsa:1583	ec:1.14.15.6
